name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Plum, black, with skin, raw",Fruits,100g,58.68,0.58,13.46,0.28,1.35,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710837,measured
"Potatoes, gold, without skin, raw",Vegetables,100g,73.47,1.81,15.96,0.26,13.83,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346403,measured
"Potatoes, red, without skin, raw",Vegetables,100g,75.56,2.06,16.27,0.25,13.79,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346402,measured
"Potatoes, russet, without skin, raw",Vegetables,100g,83.42,2.27,17.77,0.36,14.93,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346401,measured
"Radicchio, raw",Vegetables,100g,26.37,1.31,4.96,0.14,2.11,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747664,measured
"Radishes, red, raw",Vegetables,100g,19.6,0.66,4.06,0.08,1.31,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747665,measured
"Rice, black, unenriched, raw",Grains,100g,369.97,7.57,77.19,3.44,4.18,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710825,measured
"Rice, brown, long grain, unenriched, raw",Grains,100g,365.52,7.25,76.69,3.31,3.02,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512380,measured
"Rice, red, unenriched, dry, raw",Grains,100g,369.83,8.56,76.15,3.44,4.2,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710838,measured
"Rice, white, long grain, unenriched, raw",Grains,100g,358.7,7.04,80.31,1.03,0.15,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512381,measured
"Seeds, pumpkin seeds (pepitas), raw",Proteins,100g,554.6,29.91,18.68,40.03,5.08,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2515380,measured
"Seeds, sunflower seed kernels, dry roasted, with salt added",Proteins,100g,612.0,21.0,17.1,56.1,10.3,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_325524,measured
"Seeds, sunflower seed, kernel, raw",Proteins,100g,609.46,18.87,24.5,48.44,7.22,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2515381,measured
"Sesame butter, creamy",Proteins,100g,697.14,19.71,14.18,62.4,8.37,Dairy,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2262073,measured
"Sorghum bran, white, unenriched, dry, raw",Grains,100g,402.79,11.17,68.7,9.26,34.95,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710839,measured
"Sorghum flour, white, pearled, unenriched, dry, raw",Grains,100g,364.02,10.21,73.51,3.24,3.3,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710840,measured
"Sorghum grain, white, pearled, unenriched, dry, raw",Grains,100g,369.87,10.25,74.87,3.26,3.92,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710841,measured
